Type,"IBM Product",VRM,PID,"Licence Type",MTM,GA,"GA #",EOM,"EOM #",EOD,"EOD #",EOS,"EOS #","End All Support","Eligible service","Lifecycle Policy",Exception,Comments,"More Info URL","Last modified"
HW,"IBM System Storage EXP2524 Expansion Unit (1747-HC2) - Withdrawal notification",N/A,N/A,,1747HC2,2014-07-08,114-111,2018-11-20,918-161,N/A,N/A,2019-12-31,918-099,,,W,0,,,12-28-2023
HW,"IBM TS7700 Virtual Tape Library (3956-XSA)",N/A,N/A,,3956XSA,2016-05-10,116-042,2020-06-09,AD20-1192,2023-12-31,"expected field value",2024-12-21,,,,W,0,,,02-14-2024
HW,"IBM TS7700 Virtual Tape Library (3957-VED)",N/A,N/A,,3957VED,2019-10-22,119-064,2023-05-31,AD23-0155,N/A,N/A,,,,,W,0,,,02-13-2024
HW,"IBM WebSphere DataPower Integration Blade XI50B (2426-4BX) - Withdrawal notification",N/A,N/A,,24264BX,2013-04-23,,2021-05-18,,N/A,N/A,2017-04-30,,,,W,0,,,02-26-2024
HW,"IBM System Storage DS4000 EXP810 Expansion Unit (1812-81A) - Withdrawal notification",N/A,N/A,,181281A,2007-10-23,46077,2012-10-23,57493,N/A,N/A,2018-01-31,71676,,,W,0,,,12-13-2023
HW,"Power Flex System Manager Management Node (7955-01M) - Withdrawal notification",N/A,N/A,,795501M,2012-05-21,55299,2015-09-29,70732,N/A,N/A,2018-01-31,71556,,,W,0,,,12-13-2023
HW,"IBM Tape Drive (3580-L23) - Withdrawal notification",N/A,N/A,,3580L23,2003-02-14,,2006-10-27,,N/A,N/A,2018-12-31,72801,,,W,0,,,12-13-2023
HW,"BladeCenter HS22 (7809-H22) - Withdrawal notification",N/A,N/A,,7809H22,2010-02-19,,2013-10-07,,N/A,N/A,2019-12-31,73985,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B04R (4003-R04) - Withdrawal notification",N/A,N/A,,4003R04,2009-09-04,,2011-09-20,55493,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B24C (4002-C2A) - Withdrawal notification",N/A,N/A,,4002C2A,2009-08-25,,,,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B24X (4002-X2A) - Withdrawal notification",N/A,N/A,,4002X2A,2009-08-25,50479,,,N/A,N/A,2015-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Router B08M (4003-M08) - Withdrawal notification",N/A,N/A,,4003M08,2009-05-15,,2011-09-20,55493,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Router B04M (4003-M04) - Withdrawal notification",N/A,N/A,,4003M04,2009-05-15,,2011-09-20,55493,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B08S (4003-S08) - Withdrawal notification",N/A,N/A,,4003S08,2009-05-15,,2011-09-20,55493,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B16S (4003-S16) - Withdrawal notification",N/A,N/A,,4003S16,2009-05-15,,2011-09-20,55493,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B48C (4002-C4A) - Withdrawal notification",N/A,N/A,,4002C4A,2009-04-28,49616,2011-09-20,55493,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B50C (4002-C5A) - Withdrawal notification",N/A,N/A,,4002C5A,2009-04-28,49616,2011-02-26,,N/A,N/A,2015-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM Ethernet Switch B48G (4002-G4A) - Withdrawal notification",N/A,N/A,,4002G4A,2009-04-28,49615,2011-09-20,55493,N/A,N/A,2016-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM TS1150 Tape Drive (3592-E08)",N/A,N/A,,3592E08,2014-10-24,60792,2022-06-28,77508,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM TS3592 Tape Drive (3592-J1A) - Withdrawal notification",N/A,N/A,,3592J1A,2003-10-31,,2006-09-29,,N/A,N/A,2021-12-31,76041,,,W,0,,,12-13-2023
HW,"IBM Storage Networking SAN256B (2109-M48) - Withdrawal notification",N/A,N/A,,2109M48,2005-08-05,,2010-12-18,,N/A,N/A,2015-11-30,60547,,,W,0,,,12-13-2023
HW,"IBM TS1120 Tape Drive (3592-E05) - Withdrawal notification",N/A,N/A,,3592E05,2005-10-28,99917,2012-10-09,57095,N/A,N/A,2019-06-30,73985,,,W,0,,,12-13-2023
HW,"IBM TS3310 Tape Library (3576-E9U)",N/A,N/A,,3576E9U,2005-11-18,,2017-09-12,72899,2020-12-31,"expected field value",2023-12-31,77703,,,W,0,,,12-13-2023
HW,"IBM 3958 System Storage TS7680 ProtecTIER Deduplication Gateway (3958-DE2) - Withdrawal notification",N/A,N/A,,3958DE2,2010-02-19,,2012-09-25,57301,N/A,N/A,2015-11-30,70515,,,W,0,,,12-13-2023
HW,"IBM 3959 System Storage TS7620 ProtecTIER Deduplication Appliance (3959-SM2) - Withdrawal notification",N/A,N/A,,3959SM2,2012-06-08,56355,2018-02-13,73206,N/A,N/A,2020-11-30,73985,,,W,0,,,12-13-2023
HW,"IBM FlashSystem 840 (9843-AE1) - Withdrawal notification",N/A,N/A,,9843AE1,2014-01-24,58971,2015-05-19,70487,N/A,N/A,2019-12-31,73985,,,W,0,,,12-13-2023
HW,"IBM 3958 System Storage TS7650 ProtecTIER Deduplication Appliance (3958-AP1) - Withdrawal notification",N/A,N/A,,3958AP1,2009-03-06,,2012-10-03,57121,N/A,N/A,2018-11-30,72801,,,W,0,,,12-13-2023
HW,"IBM TS1140 Tape Drive (3592-E07) - Withdrawal notification",N/A,N/A,,3592E07,2011-06-03,54742,2019-06-11,74899,N/A,N/A,2022-02-28,77238,,,W,0,,,12-13-2023
HW,"IBM 3959 System Storage TS7610 ProtecTIER Deduplication Appliance (3959-SM1) - Withdrawal notification",N/A,N/A,,3959SM1,2010-08-06,53199,2012-06-04,56345,N/A,N/A,2016-10-31,71676,,,W,0,,,12-13-2023
HW,"IBM TS2260 Tape Drive (3580-H6S)",N/A,N/A,,3580H6S,2014-04-28,57071,2021-05-25,76332,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM TS2360 Tape Drive (3580-S63)",N/A,N/A,,3580S63,2012-11-06,57066,2018-07-10,73689,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Cisco MDS 9132T 32G Fabric Switch (9711-T32)",N/A,N/A,,9711T32,2018-02-09,73247,2018-12-04,74074,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Cisco MDS 9148 Multilayer Fabric Switch (2417-C48) - Withdrawal notification",N/A,N/A,,2417C48,2010-06-04,,2015-06-30,70514,N/A,N/A,2020-10-31,,,,W,0,,,12-13-2023
HW,"Cisco MDS 9148S 16G Multilayer Fabric Switch (9711-S48)",N/A,N/A,,9711S48,2015-03-06,70144,2022-12-13,77950,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Cisco MDS 9222i Multi-Service Switch (2054-E01) - Withdrawal notification",N/A,N/A,,2054E01,2007-10-23,,2015-01-13,70148,N/A,N/A,2020-04-30,73985,,,W,0,,,12-13-2023
HW,"Cisco MDS 9396S 16G Multilayer Fabric Switch for IBM System Storage (9711-S96)",N/A,N/A,,9711S96,2015-11-13,70706,2022-03-22,77370,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Cisco MDS 9706 Multilayer Director (9710-E06)",N/A,N/A,,9710E06,2015-03-06,70143,2018-12-04,74074,N/A,N/A,2026-09-30,77703,,,W,0,,,12-13-2023
HW,"Cisco MDS 9718 Multilayer Director for IBM Storage Networking (9710-E16)",N/A,N/A,,9710E16,2016-05-27,71386,2018-12-04,74074,N/A,N/A,2026-09-30,77703,,,W,0,,,12-13-2023
HW,"IBM TS1040 Tape Drive (3588-F4A)",N/A,N/A,,3588F4A,2007-04-27,,2015-07-14,70551,2020-12-31,"expected field value",2023-12-31,77703,,,W,0,,,12-13-2023
HW,"IBM TS1070 Tape Drive (3588-F7A)",N/A,N/A,,3588F7A,2015-10-23,70612,2023-06-27,78320,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM TS1080 Tape Drive (3588-F8A)",N/A,N/A,,3588F8A,2017-11-17,72961,2023-06-27,78320,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM TS1155 Tape Drive (3592-55F)",N/A,N/A,,359255F,2017-06-02,72532,2019-06-11,74899,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM TS2270 Tape Drive (3580-H7S)",N/A,N/A,,3580H7S,2015-11-20,,2023-06-27,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM TS2280 Tape Drive (3580-H8S)",N/A,N/A,,3580H8S,2017-11-17,72825,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM RS/6000 R24 Server (7015-R24) - Withdrawal notification",N/A,N/A,,7015R24,1980-02-15,,1980-02-15,,N/A,N/A,2017-06-30,71676,,,W,0,,,12-13-2023
HW,"Hardware Management Console (7042-CR4) - Withdrawal notification",N/A,N/A,,7042CR4,2007-05-22,,2009-10-20,,N/A,N/A,2021-12-31,76930,,,W,0,,,12-13-2023
HW,"IBM Power System 595 Server (9119-FHA) - Withdrawal notification",N/A,N/A,,9119FHA,2008-05-06,108-257,2011-07-29,911-010,N/A,N/A,2019-03-31,917-163,,,W,0,,,02-27-2024
HW,"Power System 775 Server (9125-F2C) - Withdrawal notification",N/A,N/A,,9125F2C,2011-08-26,54211,2013-10-07,,N/A,N/A,2019-09-30,73124,,,W,0,,,12-13-2023
HW,"IBM LinuxONE Emperor (2964-L30)",N/A,N/A,,2964L30,2016-03-10,70663,2018-04-10,73749,N/A,N/A,2024-12-31,78376,,,W,0,,,12-13-2023
